title,description,creator,recipient,date,date-is-approximate,latitude,longitude,item-information,subject,related-publication,publisher-digital,source,original-identifier,identifier,rights,rightsstatement,type,format,language,relation,cdmid,objectid,youtubeid,object_thumb,object_download,reference_url
"La-Sy-El: Daughter of Swinomish","Faye Cabrini Bates shares her life story and recounts details from her social justice career, focusing in particular on her work with at-risk Native American youth and with St. Leo Churchs outreach programs. A long-time Indian rights activist, she comments on some of the political and social obstacles currently faced by Native American communities. Her father, Elder Martin Sampson of the Swinomish Tribe, is also discussed in-depth.","","","2007","","","","","xyz","","","University of Washington Tacoma Community History Project","","chp2007-03","","http://rightsstatements.org/page/InC-EDU/1.0/?language=en","text","cpd","","","377","tchp377","","https://digitalcollections.lib.washington.edu//utils/getthumbnail/collection/tacomacomm/id/377","","erika-b.github.io/tchp_dev/items/tchp377.html"
"Dale Standley, photograph","","","","","","","","","","","","University of Washington Tacoma Community History Project","","chp2007-04photograph","","http://rightsstatements.org/page/InC-EDU/1.0/?language=en","Image","image/jpg","","","378","tchp378","","https://digitalcollections.lib.washington.edu//utils/getthumbnail/collection/tacomacomm/id/378","https://digitalcollections.lib.washington.edu//digital/iiif/tacomacomm/378/full/max/0/default.jpg","erika-b.github.io/tchp_dev/items/tchp378.html"
"Constance Standley, research essay","","","","","","","","","","","","University of Washington Tacoma Community History Project","","chp2007-04essay","","http://rightsstatements.org/page/InC-EDU/1.0/?language=en","Text","application/pdf","","","379","tchp379","","https://digitalcollections.lib.washington.edu//utils/getthumbnail/collection/tacomacomm/id/379","https://digitalcollections.lib.washington.edu//utils/getfile/collection/tacomacomm/id/379.pdf","erika-b.github.io/tchp_dev/items/tchp379.html"
"Dale Standley, interview transcript","","","","","","","","","","","","University of Washington Tacoma Community History Project","","chp2007-04transcript","","http://rightsstatements.org/page/InC-EDU/1.0/?language=en","Text","application/pdf","","","380","tchp380","","https://digitalcollections.lib.washington.edu//utils/getthumbnail/collection/tacomacomm/id/380","https://digitalcollections.lib.washington.edu//utils/getfile/collection/tacomacomm/id/380.pdf","erika-b.github.io/tchp_dev/items/tchp380.html"
"Dale Standley, audio 1","","","","","","","","","","","","University of Washington Tacoma Community History Project","","chp2007-04audio1","","http://rightsstatements.org/page/InC-EDU/1.0/?language=en","Audio","audio/mp3","","","381","tchp381","","https://digitalcollections.lib.washington.edu//utils/getthumbnail/collection/tacomacomm/id/381","https://digitalcollections.lib.washington.edu//utils/getstream/collection/tacomacomm/id/381","erika-b.github.io/tchp_dev/items/tchp381.html"
"Dale Standley, audio 2","","","","","","","","","","","","University of Washington Tacoma Community History Project","","chp2007-04audio2","","http://rightsstatements.org/page/InC-EDU/1.0/?language=en","Audio","audio/mp3","","","382","tchp382","","https://digitalcollections.lib.washington.edu//utils/getthumbnail/collection/tacomacomm/id/382","https://digitalcollections.lib.washington.edu//utils/getstream/collection/tacomacomm/id/382","erika-b.github.io/tchp_dev/items/tchp382.html"
"Dale Standley, audio 3","","","","","","","","","","","","University of Washington Tacoma Community History Project","","chp2007-04audio3","","http://rightsstatements.org/page/InC-EDU/1.0/?language=en","Audio","audio/mp3","","","383","tchp383","","https://digitalcollections.lib.washington.edu//utils/getthumbnail/collection/tacomacomm/id/383","https://digitalcollections.lib.washington.edu//utils/getstream/collection/tacomacomm/id/383","erika-b.github.io/tchp_dev/items/tchp383.html"
"Project bibliography","","","","","","","","","","","","University of Washington Tacoma Community History Project","","chp2007-04bibliography","","http://rightsstatements.org/page/InC-EDU/1.0/?language=en","Text","application/pdf","","","384","tchp384","","https://digitalcollections.lib.washington.edu//utils/getthumbnail/collection/tacomacomm/id/384","https://digitalcollections.lib.washington.edu//utils/getfile/collection/tacomacomm/id/384.pdf","erika-b.github.io/tchp_dev/items/tchp384.html"
"The U.S. Navy During World War II: One Mans Experience","Dale Standley discusses his U.S. Naval career and describes life aboard the USS Hatfield, a destroyer that patrolled the North American west coast during  World War II.","","","2007","","","","","","","","University of Washington Tacoma Community History Project","","chp2007-04","","http://rightsstatements.org/page/InC-EDU/1.0/?language=en","image","cpd","","","385","tchp385","","https://digitalcollections.lib.washington.edu//utils/getthumbnail/collection/tacomacomm/id/385","","erika-b.github.io/tchp_dev/items/tchp385.html"
"Kevin Wallace, research essay","","","","","","","","","","","","University of Washington Tacoma Community History Project","","chp2007-06essay","","http://rightsstatements.org/page/InC-EDU/1.0/?language=en","Text","application/pdf","","","386","tchp386","","https://digitalcollections.lib.washington.edu//utils/getthumbnail/collection/tacomacomm/id/386","https://digitalcollections.lib.washington.edu//utils/getfile/collection/tacomacomm/id/386.pdf","erika-b.github.io/tchp_dev/items/tchp386.html"
"Richard Scharick, interview transcript","","","","","","","","","","","","University of Washington Tacoma Community History Project","","chp2007-06transcript","","http://rightsstatements.org/page/InC-EDU/1.0/?language=en","Text","application/pdf","","","387","tchp387","","https://digitalcollections.lib.washington.edu//utils/getthumbnail/collection/tacomacomm/id/387","https://digitalcollections.lib.washington.edu//utils/getfile/collection/tacomacomm/id/387.pdf","erika-b.github.io/tchp_dev/items/tchp387.html"
"Project bibliography","","","","","","","","","","","","University of Washington Tacoma Community History Project","","chp2007-06bibliography","","http://rightsstatements.org/page/InC-EDU/1.0/?language=en","Text","application/pdf","","","388","tchp388","","https://digitalcollections.lib.washington.edu//utils/getthumbnail/collection/tacomacomm/id/388","https://digitalcollections.lib.washington.edu//utils/getfile/collection/tacomacomm/id/388.pdf","erika-b.github.io/tchp_dev/items/tchp388.html"
"The Drug War and Civil Rights","Richard Scharick recounts some of the major legislative events that took place during his time as Assistant Sergeant-at-Arms for the Washington State House of Representatives. Areas of focus include the 1989 Omnibus Drug Bill and Scharicks own political philosophy.","","","2007","","","","","","","","University of Washington Tacoma Community History Project","","chp2007-06","","http://rightsstatements.org/page/InC-EDU/1.0/?language=en","text","cpd","","","389","tchp389","","https://digitalcollections.lib.washington.edu//utils/getthumbnail/collection/tacomacomm/id/389","","erika-b.github.io/tchp_dev/items/tchp389.html"
"Sister Mary Cabrini Rohr, photograph","","","","","","","","","","","","University of Washington Tacoma Community History Project","","chp1994-07photograph","","http://rightsstatements.org/page/InC-EDU/1.0/?language=en","Image","image/jpg","","","390","tchp390","","https://digitalcollections.lib.washington.edu//utils/getthumbnail/collection/tacomacomm/id/390","https://digitalcollections.lib.washington.edu//digital/iiif/tacomacomm/390/full/max/0/default.jpg","erika-b.github.io/tchp_dev/items/tchp390.html"
"M. Connie Smith, research essay","","","","","","","","","","","","University of Washington Tacoma Community History Project","","chp1994-07essay","","http://rightsstatements.org/page/InC-EDU/1.0/?language=en","Text","application/pdf","","","391","tchp391","","https://digitalcollections.lib.washington.edu//utils/getthumbnail/collection/tacomacomm/id/391","https://digitalcollections.lib.washington.edu//utils/getfile/collection/tacomacomm/id/391.pdf","erika-b.github.io/tchp_dev/items/tchp391.html"
"Sister Mary Cabrini Rohr, interview transcript 1","","","","","","","","","","","","University of Washington Tacoma Community History Project","","chp1994-07transcript1","","http://rightsstatements.org/page/InC-EDU/1.0/?language=en","Text","application/pdf","","","392","tchp392","","https://digitalcollections.lib.washington.edu//utils/getthumbnail/collection/tacomacomm/id/392","https://digitalcollections.lib.washington.edu//utils/getfile/collection/tacomacomm/id/392.pdf","erika-b.github.io/tchp_dev/items/tchp392.html"
"Sister Mary Cabrini Rohr, audio 1","","","","","","","","","","","","University of Washington Tacoma Community History Project","","chp1994-07audio1","","http://rightsstatements.org/page/InC-EDU/1.0/?language=en","Audio","audio/mp3","","","393","tchp393","","https://digitalcollections.lib.washington.edu//utils/getthumbnail/collection/tacomacomm/id/393","https://digitalcollections.lib.washington.edu//utils/getstream/collection/tacomacomm/id/393","erika-b.github.io/tchp_dev/items/tchp393.html"
"Sister Mary Cabrini Rohr, audio 2","","","","","","","","","","","","University of Washington Tacoma Community History Project","","chp1994-07audio2","","http://rightsstatements.org/page/InC-EDU/1.0/?language=en","Audio","audio/mp3","","","394","tchp394","","https://digitalcollections.lib.washington.edu//utils/getthumbnail/collection/tacomacomm/id/394","https://digitalcollections.lib.washington.edu//utils/getstream/collection/tacomacomm/id/394","erika-b.github.io/tchp_dev/items/tchp394.html"
"Sister Mary Cabrini Rohr, interview transcript 2","","","","","","","","","","","","University of Washington Tacoma Community History Project","","chp1994-07transcript2","","http://rightsstatements.org/page/InC-EDU/1.0/?language=en","Text","application/pdf","","","395","tchp395","","https://digitalcollections.lib.washington.edu//utils/getthumbnail/collection/tacomacomm/id/395","https://digitalcollections.lib.washington.edu//utils/getfile/collection/tacomacomm/id/395.pdf","erika-b.github.io/tchp_dev/items/tchp395.html"
"Sister Mary Cabrini Rohr, audio 3","","","","","","","","","","","","University of Washington Tacoma Community History Project","","chp1994-07audio3","","http://rightsstatements.org/page/InC-EDU/1.0/?language=en","Audio","audio/mp3","","","396","tchp396","","https://digitalcollections.lib.washington.edu//utils/getthumbnail/collection/tacomacomm/id/396","https://digitalcollections.lib.washington.edu//utils/getstream/collection/tacomacomm/id/396","erika-b.github.io/tchp_dev/items/tchp396.html"
"Sister Mary Cabrini Rohr, audio 4","","","","","","","","","","","","University of Washington Tacoma Community History Project","","chp1994-07audio4","","http://rightsstatements.org/page/InC-EDU/1.0/?language=en","Audio","audio/mp3","","","397","tchp397","","https://digitalcollections.lib.washington.edu//utils/getthumbnail/collection/tacomacomm/id/397","https://digitalcollections.lib.washington.edu//utils/getstream/collection/tacomacomm/id/397","erika-b.github.io/tchp_dev/items/tchp397.html"
"Project bibliography","","","","","","","","","","","","University of Washington Tacoma Community History Project","","chp1994-07bibliography","","http://rightsstatements.org/page/InC-EDU/1.0/?language=en","Text","application/pdf","","","398","tchp398","","https://digitalcollections.lib.washington.edu//utils/getthumbnail/collection/tacomacomm/id/398","https://digitalcollections.lib.washington.edu//utils/getfile/collection/tacomacomm/id/398.pdf","erika-b.github.io/tchp_dev/items/tchp398.html"
